jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,ann
130.9,85.1,137.2,66.8,20.3,77.9,146.5,70.6,143.8,111.9,154.1,122.5,avrg
71.6,108.6,47.2,76.3,49.1,73.6,142,107.7,63.4,81.1,74.8,93.2,light
69.5,67.8,100.1,64.4,83.6,162.1,83.9,106,108.8,87.2,118.7,66.5,avrg
85.6,67.1,97.7,26.7,49.8,87.7,94,70.4,167.9,111.3,110.6,139.9,avrg
150,79.9,25.7,12.7,96.1,82.9,96.1,71.7,110.1,93.2,106.9,49.4,light
79.9,75.3,60.3,45.9,54.8,56.9,98.8,144.9,106.2,171.9,86,108.7,avrg
87.2,76,116.8,5.5,64.9,62.3,70,58.3,85.7,66.3,113.3,108.5,light
117.9,51,50,101.3,94.4,53,116.8,82.3,27,132.9,120.1,31.4,light
87.2,105.6,81.3,24.3,22.9,104,83.3,80.1,76.9,60.2,166.6,46.5,light
84.2,61.2,70.9,46.9,50.8,100.5,83.5,104.5,101.3,168.8,116.4,117.6,avrg
101.9,68.8,77.3,97.6,67.8,115.1,157.4,131.7,101.6,184.3,93.9,51.3,avrg
59.8,41.4,36.4,63,124.4,75,74,48.6,57.8,155.5,105.3,176.1,avrg
66.3,223.3,112.8,66.9,36.6,142.5,89.8,92.3,41.5,141.2,114.6,99.1,avrg
163.9,77.3,46.4,66.8,73.1,60.4,106.8,74,56.9,70,106.7,98.8,avrg
84,135.1,22.2,76.3,75.6,50.2,61.3,101.2,67.5,79.4,126.4,84.7,light
163.1,54.1,146.9,76.2,24.4,83,96.8,102,42.6,76.5,50,40,light
203.5,104.7,18.7,16.6,56.7,99.2,67.7,118.5,71.1,125.9,145.4,260,avrg
163.8,77.5,46.5,50.7,29.4,101.7,110.5,97.2,71.9,171.3,79.1,50.5,avrg
131.1,52.3,48.4,30.7,95.4,100.9,72.5,62.6,43.2,100.9,117.9,110.7,light
44.6,48.7,84,43.6,46.4,62.2,93,113.3,22.5,112.6,53.1,77.1,light
83,111.5,6.3,89.8,83,103.9,78,105.9,166.9,52.2,60.9,120.6,avrg
89.3,44.9,106.1,79.9,56.4,80.4,58.5,54.1,124.5,63.8,94.9,95.2,light
72.6,31.6,51.5,49.4,84.7,54.4,138.4,76.9,80.7,125,72.1,122.2,light
114.6,82.6,105.4,99.2,5.7,63.7,71.4,58.9,82.4,144.3,111.7,112.8,avrg
118.2,74.5,94.7,30,51.4,144.2,65.8,107.2,40.2,112.4,105.6,137.4,avrg
75.8,87.8,107.7,33.6,38.9,75.9,109.8,165.3,136.7,81.4,173.7,77.4,avrg
144.1,52.5,116.4,70.9,99.1,120.2,91.5,104.6,63.5,145.9,55.2,130.4,avrg
150.7,57.8,54.4,81.9,52.3,89.8,17.9,133.9,115.6,105.3,82.8,106.3,avrg
75.4,99.1,97.1,40.8,54.8,66.5,71.4,40.1,128.8,173.3,134.5,111.7,avrg
104.2,88.9,55.8,23.5,91.9,16.9,102.1,116.5,25.8,159.8,100.8,111.9,light
136.4,126,102.4,58.6,39.9,50,96.3,114.9,124.2,76.2,95.9,133.2,avrg
140,76.9,73,122.3,81.9,54.4,150.4,83.2,78.6,99.8,25.8,76.3,avrg
157.8,124.8,99.9,109,65.9,30.7,18.5,156.8,119.9,91.3,76.6,187.3,avrg
143.3,105.1,44.4,57.4,43.7,67.3,38.2,37.3,165.2,116.3,85.3,121,avrg
69.8,116.8,29.9,36.5,72.4,46,47.3,49.6,89.3,128.3,73.9,122.8,light
64.9,117.8,59,125.3,28.8,61.8,122.7,82.9,77.2,116.2,86,90.9,avrg
160.8,156.2,89.8,75.2,108.8,141.7,91.4,114.9,169.2,146.3,188.1,163.3,heavy
146,45.4,60.9,26.9,90.2,49.2,133.2,109.8,124.9,130.1,101.6,84.9,avrg
